Date,Type,Tag,Sending Wallet,Sent Amount,Sent Currency,Sent Cost Basis,Receiving Wallet,Received Amount,Received Currency,Received Cost Basis,Fee Amount,Fee Currency,Gain (USD),Net Value (USD),Fee Value (USD),TxSrc,TxDest,TxHash,Description
2024-05-31 19:23:38 UTC,exchange,Swap,Knox SOl,5.000425,SOL,841.5762978,Knox SOl,4.844725877,JUCYSOL,841.5762978,,,,832.4468021,,,,2r37BpR8xHUWrm81HPkTjpDwjpF3vS4EYCZwya5G9YuvpPRULBGdZSNUTMwJXaqVL69eqwJXd9rd7unWn6ecDBaw,
2024-05-31 19:23:55 UTC,transfer,,Knox SOl,4.844725877,JUCYSOL,,Solana (SOL) 9,4.844725877,JUCYSOL,,,,,0,,,,3ayRRikXkoRfuY1vk4Fjbf1zXQQbvWyshNcrspNSECjSyTWmizbeDcyWd5cdfQs7wkSqDMDfN3en8DDZoFjmXuC5,
2024-05-31 19:23:55 UTC,crypto_withdrawal,Cost,Knox SOl,0.000065,SOL,0.010939562,,,,,,,-0.0001186733,0.0108208887,,,,3ayRRikXkoRfuY1vk4Fjbf1zXQQbvWyshNcrspNSECjSyTWmizbeDcyWd5cdfQs7wkSqDMDfN3en8DDZoFjmXuC5,
2024-05-31 20:22:38 UTC,crypto_deposit,,,,,,Coinbase,199.7034919,SUI,204.79,,,,204.79,,,,AupAFktAC4utrqd5VnrnsYFjsZd1JCJTpjF93ZyeqGUY,
2024-05-31 20:22:38 UTC,crypto_deposit,,,,,,Coinbase,2.006155721,SUI,2.05,,,,2.05,,,,4ZL36QrSCYMdiFfo6xjAttjatkE3gh9PiALHuGpBobnf,
2024-05-31 20:22:42 UTC,crypto_deposit,,,,,,Coinbase,0.018273647,SUI,0.01,,,,0.01,,,,CtLYHRu36YcJBaHwbCo1XstFs73Lca76Ddrb6vzLXk2P,
2024-05-31 20:25:29 UTC,crypto_deposit,,,,,,Coinbase,199.7394403,SUI,204.81,,,,204.81,,,,5zdCimwURAnAMAbPdbqnsYCcEBV9A41ddVjf2AS1ZGVy,
2024-05-31 20:27:15 UTC,sell,,Coinbase,401.5,SUI,411.699573,Coinbase,411.53,USD,,1.65,USD,-1.819573038,411.53,1.65,,,51bd98c5-592b-40bf-a940-41c9b0df44c9,advanced trade
2024-05-31 20:27:53 UTC,fiat_withdrawal,,Coinbase,409.89,USD,,,,,,,,,409.89,,,,,
2024-05-31 20:38:56 UTC,crypto_deposit,,,,,,Coinbase,1.995664002,SUI,2.04,,,,2.04,,,,ATRwew11JAJDn3BgLu5C17DqeT4sNMAaC7JYGU5YqTTi,
2024-05-31 20:38:57 UTC,crypto_deposit,,,,,,Coinbase,1.995509804,SUI,2.04,,,,2.04,,,,5xPo1dc6mZfupqkeVP55PYGmmdmz8V2DRqDhrUcZ3GAz,
2024-05-31 20:44:42 UTC,crypto_deposit,,,,,,Coinbase,0.00108648,SUI,,,,,0,,,,VQ58VEyw13Rwft4USH7yv4X7cMAfyjkCxgYctbBp19g,
2024-05-31 20:46:57 UTC,crypto_deposit,,,,,,Coinbase,0.00108648,SUI,,,,,0,,,,Esx6H4jhcWHzekyhRBT861GaHFGPgi8uU7LwZ5Co1kdT,
2024-06-01 01:11:32 UTC,crypto_deposit,,,,,,Knox SOl,20,SOL,3333.458407,,,,3333.458407,,,,rBsM4hvJjnhyVHneh3BiA6u6mi3DTdcWSdgUKNDqfP31YGkpCoN8rAqcU7j4ujXeVDLw4gvd5Ge3TaaYrEH5Uk6,
2024-06-01 01:24:15 UTC,crypto_withdrawal,,Knox SOl,10.00473804,SOL,1683.064327,,,,,,,-15.54541977,1667.518907,,,,5he5CHxK1NSDjAMPBSiePYFSFTCDigMPXH5SH4fQQB1H3LKN6VhgzuW7X7rdUGLeFYPGvn2UEVVEA6P5ZMZBVPud,
